Area code,Area name,All qualifications,No qualifications,Level 1,Level 2,Apprenticeship,Level 3,Level 4 and above,Others,Total annual income,All usual residents ,Area ,Density
W06000001,Isle of Anglesey,"57,890",24.2,12.7,16.2,4.7,11.9,26.1,4.2,35844,"69,751",62,314
W06000002,Gwynedd,"100,923",23.2,11.8,16.1,3.7,14.5,26.4,4.3,35664,"121,874",6,340
W06000003,Conwy,"96,102",25.6,13.1,16.1,3.9,11.3,25.5,4.6,36086,"115,228",28,314
W06000004,Denbighshire,"76,781",25.4,14,16.8,3.8,11.4,24.2,4.3,37866,"93,734",49,308
W06000005,Flintshire,"123,862",23.5,15.4,17.3,4.9,12.2,22.4,4.3,40540,"152,506",109,217
W06000006,Wrexham,"109,026",26.7,13.9,16.1,3.9,11.5,22.8,5,43083,"134,844",101,239
W06000023,Powys,"110,083",24.8,12.6,16.4,3.8,11.5,26.3,4.5,35242,"132,976",1,346
W06000008,Ceredigion,"64,692",19.8,10.5,15,3.2,19.2,27.9,4.3,40511,"75,922",12,344
W06000009,Pembrokeshire,"100,362",24.6,13.6,16.8,4.3,11.8,24.8,4.1,37706,"122,439",14,329
W06000010,Carmarthenshire,"150,763",26.8,13.1,16.4,4.3,11.2,23.9,4.4,32572,"183,777",8,329
W06000011,Swansea,"197,627",23.9,12.3,15.3,4.3,13.9,25.8,4.4,37803,"239,023",120,168
W06000012,Neath Port Talbot,"115,175",30.9,14.4,16,5.1,11,18.8,3.9,33363,"139,812",108,228
W06000013,Bridgend ,"113,890",28.3,14,16,4.2,10.8,22.6,4.1,38968,"139,178",170,172
W06000014,The Vale of Glamorgan,"102,504",20.5,12.9,16.9,4.2,11.9,29.8,4,44746,"126,336",147,209
W06000015,Cardiff,"283,115",20.7,11,13,2.8,15.2,32.3,5,41579,"346,090",211,73
W06000016,Rhondda Cynon Taf,"190,116",31.8,14.1,15.6,3.5,11.4,19.6,4,28313,"234,410",110,175
W06000024,Merthyr Tydfil,"47,842",34.3,14.3,15.1,3.7,10.1,17.8,4.9,32385,"58,802",229,178
W06000018,Caerphilly,"143,825",31.4,14.9,16.2,3.9,11.2,18.7,3.7,30712,"178,806",163,166
W06000019,Blaenau Gwent,"57,321",36,15.8,15.5,3.5,9.8,15.2,4.2,27233,"69,814",236,166
W06000020,Torfaen,"73,833",28.9,15,16.3,4.3,11.2,20.3,4,34877,"91,075",221,161
W06000021,Monmouthshire,"75,080",20.7,12.6,15.4,3.9,10.8,33.1,3.6,45945,"91,323",47,308
W06000022,Newport,"116,348",27,14.1,15.3,4,11.3,23.4,4.8,39815,"145,736",189,157
