Region code,Region name,LAD/UA code,LAD/UA name,All usual residents ,Area ,Density
W92000004,Wales,W06000001,Isle of Anglesey,"69,751",62,314
W92000004,Wales,W06000002,Gwynedd,"121,874",6,340
W92000004,Wales,W06000003,Conwy,"115,228",28,314
W92000004,Wales,W06000004,Denbighshire,"93,734",49,308
W92000004,Wales,W06000005,Flintshire,"152,506",109,217
W92000004,Wales,W06000006,Wrexham,"134,844",101,239
W92000004,Wales,W06000023,Powys,"132,976",1,346
W92000004,Wales,W06000008,Ceredigion,"75,922",12,344
W92000004,Wales,W06000009,Pembrokeshire,"122,439",14,329
W92000004,Wales,W06000010,Carmarthenshire,"183,777",8,329
W92000004,Wales,W06000011,Swansea,"239,023",120,168
W92000004,Wales,W06000012,Neath Port Talbot,"139,812",108,228
W92000004,Wales,W06000013,Bridgend,"139,178",170,172
W92000004,Wales,W06000014,The Vale of Glamorgan,"126,336",147,209
W92000004,Wales,W06000015,Cardiff,"346,090",211,73
W92000004,Wales,W06000016,Rhondda Cynon Taf,"234,410",110,175
W92000004,Wales,W06000024,Merthyr Tydfil,"58,802",229,178
W92000004,Wales,W06000018,Caerphilly,"178,806",163,166
W92000004,Wales,W06000019,Blaenau Gwent,"69,814",236,166
W92000004,Wales,W06000020,Torfaen,"91,075",221,161
W92000004,Wales,W06000021,Monmouthshire,"91,323",47,308
W92000004,Wales,W06000022,Newport,"145,736",189,157
