Local authority code,Local authority name,Total annual income
W06000001,Isle of Anglesey,35844
W06000002,Gwynedd,35664
W06000003,Conwy,36086
W06000004,Denbighshire,37866
W06000005,Flintshire,40540
W06000006,Wrexham,43083
W06000007,Powys,35242
W06000008,Ceredigion,40511
W06000009,Pembrokeshire,37706
W06000010,Carmarthenshire,32572
W06000011,Swansea,37803
W06000012,Neath Port Talbot,33363
W06000013,Bridgend,38968
W06000014,The Vale of Glamorgan,44746
W06000015,Cardiff,41579
W06000016,Rhondda Cynon Taf,28313
W06000017,Merthyr Tydfil,32385
W06000018,Caerphilly,30712
W06000019,Blaenau Gwent,27233
W06000020,Torfaen,34877
W06000021,Monmouthshire,45945
W06000022,Newport,39815
,,
,,
,,
,,
,,
,,
,,
